[2024-06-13 08:30:48,020][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:49,023][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:50,021][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:51,021][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:52,022][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:53,022][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:54,022][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:55,023][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:56,023][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:57,024][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:58,024][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:30:59,025][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:00,026][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:01,026][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:02,026][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:03,027][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:04,028][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:05,028][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:06,028][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:07,029][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:08,030][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:09,030][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:10,030][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:11,031][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:12,032][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 08:31:13,032][INFO] > Data: 0b110101010 | 0xA5F4

