[2024-06-13 16:08:01,655][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:02,655][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:03,655][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:04,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:05,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:06,655][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:07,655][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:08,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:09,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:10,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:11,655][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:12,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:13,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:14,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:15,655][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:16,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:17,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:18,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:19,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:20,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:21,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:22,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:23,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:24,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:25,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:26,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:27,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:28,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:29,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:30,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:31,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:32,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:33,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:34,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:35,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:36,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:37,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:38,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:39,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:40,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:41,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:42,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:43,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:44,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:45,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:46,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:47,654][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:08:48,654][INFO] > Data: 0b110101010 | 0xA5F4

